,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Gorontalo,78,ID,1604691335,86,0.54,123.06,75.29,1.34
1,Mataura,3,NZ,1604691336,66,-46.19,168.86,49.69,3.74
2,Chui,30,UY,1604691337,74,-33.7,-53.46,67.62,14.54
3,Port Alfred,100,ZA,1604691339,84,-33.59,26.89,61.77,13.58
4,Dunedin,31,NZ,1604691150,66,-45.87,170.5,54.82,0.69
5,Mt. Pleasant,40,US,1604691152,88,32.79,-79.86,75.0,5.82
6,Busselton,65,AU,1604691342,46,-33.65,115.33,59.0,12.48
7,Guangyuan,100,CN,1604691344,72,32.44,105.82,57.99,2.57
8,Ushuaia,20,AR,1604691272,41,-54.8,-68.3,57.2,3.36
9,Hasaki,75,JP,1604691347,93,35.73,140.83,51.8,1.12
10,Tual,62,ID,1604691348,74,-5.67,132.75,82.74,12.46
11,East London,20,ZA,1604691349,68,-33.02,27.91,64.4,16.11
12,Mabaruma,100,GY,1604691350,81,8.2,-59.78,82.13,5.53
13,Thompson,90,CA,1604691180,85,55.74,-97.86,12.2,4.7
14,Labuhan,62,ID,1604691353,85,-6.88,112.21,78.17,10.09
15,Kavieng,100,PG,1604691354,78,-2.57,150.8,82.89,12.15
16,Yaring,98,TH,1604691355,79,6.87,101.37,79.48,2.39
17,Kruisfontein,100,ZA,1604691357,88,-34.0,24.73,57.99,1.01
18,North Bend,90,US,1604691358,81,43.41,-124.22,52.0,5.57
19,High Level,20,CA,1604691359,78,58.52,-117.14,8.6,4.7
20,Okhotsk,98,RU,1604691360,88,59.38,143.3,7.02,19.84
21,Brae,20,GB,1604691362,93,60.4,-1.35,50.0,10.29
22,Cabo San Lucas,5,MX,1604691328,69,22.89,-109.91,86.0,9.17
23,Qaanaaq,88,GL,1604691364,76,77.48,-69.36,-5.51,9.86
24,Rikitea,82,PF,1604691366,81,-23.12,-134.97,71.58,20.67
25,Saint Paul Harbor,1,US,1604691352,74,57.79,-152.41,37.4,4.7
26,Port Hardy,20,CA,1604691369,70,50.7,-127.42,44.6,11.41
27,Jamestown,1,US,1604691370,42,42.1,-79.24,66.99,14.99
28,Atuona,80,PF,1604691372,78,-9.8,-139.03,78.04,19.04
29,Puerto Ayora,40,EC,1604691374,69,-0.74,-90.35,78.8,23.04
30,Avarua,88,CK,1604691375,78,-21.21,-159.78,77.0,5.82
31,Mahébourg,20,MU,1604691376,78,-20.41,57.7,71.6,11.36
32,Erzin,0,TR,1604691378,68,36.96,36.2,64.99,8.01
33,Vardø,75,NO,1604691379,86,70.37,31.11,37.4,24.16
34,Rūdbār,0,AF,1604691380,27,30.15,62.6,59.68,4.99
35,Lebu,0,CL,1604691381,71,-37.62,-73.65,55.94,20.09
36,Richards Bay,100,ZA,1604691382,85,-28.78,32.04,71.35,4.05
37,Los Llanos de Aridane,20,ES,1604691384,64,28.66,-17.92,69.8,6.93
38,Castro,0,BR,1604691386,42,-24.79,-50.01,72.9,4.41
39,Cherskiy,82,RU,1604691387,96,68.75,161.3,11.8,14.85
40,Adré,0,TD,1604691388,20,13.47,22.2,74.7,14.81
41,Butaritari,100,KI,1604691389,76,3.07,172.79,81.23,14.61
42,Krasnovishersk,100,RU,1604691391,95,60.41,57.08,35.96,5.95
43,Ribeira Grande,75,PT,1604691392,82,38.52,-28.7,60.8,10.29
44,Albany,43,US,1604691111,27,42.6,-73.97,72.0,3.0
45,Tuktoyaktuk,75,CA,1604691395,78,69.45,-133.04,14.0,17.22
46,Cidreira,1,BR,1604691396,76,-30.18,-50.21,69.13,14.79
47,New Norfolk,2,AU,1604691398,67,-42.78,147.06,44.01,1.01
48,Tasiilaq,40,GL,1604691399,63,65.61,-37.64,28.4,8.05
49,Dukat,100,RU,1604691400,91,62.55,155.55,-3.62,4.65
50,Klaksvík,100,FO,1604691402,100,62.23,-6.59,48.2,13.87
51,Pisco,40,PE,1604691263,72,-13.7,-76.22,68.0,10.29
52,Lavrentiya,87,RU,1604691404,84,65.58,-171.0,35.55,31.07
53,Cape Town,20,ZA,1604691267,87,-33.93,18.42,59.0,6.93
54,Hermanus,51,ZA,1604691406,88,-34.42,19.23,53.01,11.52
55,Kintinku,20,TZ,1604691407,50,-5.88,35.23,75.2,23.04
56,Punta Arenas,40,CL,1604691353,33,-53.15,-70.92,57.2,28.86
